type, food, recipe, meal
steak,steak soup,"2 tablespoons butter,2 tablespoons vegetable oil,1 1/2 pounds lean boneless beef round steak, cut into cubes,1/2 cup chopped onion,3 tablespoons all-purpose flour,1 tablespoon paprika,1 teaspoon salt,1/4 teaspoon ground black pepper,4 cups beef broth,2 cups water,4 sprigs fresh parsley, chopped,2 tablespoons chopped celery leaves,1 bay leaf,1/2 teaspoon dried marjoram,1 1/2 cups peeled, diced Yukon Gold potatoes,1 1/2 cups sliced carrots,1 1/2 cups chopped celery,1 (6 ounce) can tomato paste,1 (15.25 ounce) can whole kernel corn, drained",dinner
steak,berdeans cube steak,"4 (4 ounce) cube steaks,salt and pepper to taste,1/4 cup all-purpose flour,1/3 cup vegetable oil,1 teaspoon beef bouillon granules",dinner
steak,round steak and gravy ii,"1 1/2 pounds thin cut round steak,1 (10.75 ounce) can condensed cream of mushroom soup,1 (10.5 ounce) can condensed French onion soup,1 (10.75 ounce) can water",dinner
steak,the best chicken fried steak,"4 (1/2 pound) beef cube steaks,2 cups all-purpose flour,2 teaspoons baking powder,1 teaspoon baking soda,1 teaspoon black pepper,3/4 teaspoon salt,1 1/2 cups buttermilk,1 egg,1 tablespoon hot pepper sauce (e.g. Tabasco™),2 cloves garlic, minced,3 cups vegetable shortening for deep frying,1/4 cup all-purpose flour,4 cups milk,kosher salt and ground black pepper to taste",dinner
steak,als baked swiss steak,"1 pound boneless beef round steak,1/2 teaspoon salt,1/4 teaspoon ground black pepper,1/2 teaspoon seasoned salt (such as LAWRY'S®),1 tablespoon all-purpose flour, or as needed,1/4 cup vegetable oil,1 (14.5 ounce) can stewed tomatoes,1 medium onion, chopped,1 green bell pepper, chopped,1/4 cup beef broth,1/2 cup chopped carrots,1/4 cup chopped celery,2 cloves garlic, minced,1 tablespoon all-purpose flour,1/4 teaspoon Worcestershire sauce,1/4 cup shredded sharp Cheddar cheese",dinner
steak,butchers steak hanger steak,"1 (2 pound) butcher's steak (hanger steak),salt and freshly ground black pepper to taste,1 tablespoon clarified butter,2/3 cup chicken broth,2 teaspoons balsamic vinegar,2 tablespoons cold butter, cut into cubes,salt to taste",dinner
steak,cuban marinated steak,"1/2 teaspoon cumin seeds,1/4 cup orange juice,2 tablespoons vegetable oil,2 tablespoons Montreal-style steak seasoning,2 1/4 teaspoons lime juice,1 1/2 teaspoons dried oregano,1 1/2 pounds beef rib-eye steaks",dinner
steak,slow cooker pepper steak,"2 pounds beef sirloin, cut into 2 inch strips,garlic powder to taste,3 tablespoons vegetable oil,1 cube beef bouillon,1/4 cup hot water,1 tablespoon cornstarch,1/2 cup chopped onion,2 large green bell peppers, roughly chopped,1 (14.5 ounce) can stewed tomatoes, with liquid,3 tablespoons soy sauce,1 teaspoon white sugar,1 teaspoon salt",dinner
cupcake,pumpkin ginger cupcakes,"2 cups all-purpose flour,1 (3.4 ounce) package instant butterscotch pudding mix,2 teaspoons baking soda,1/4 teaspoon salt,1 tablespoon ground cinnamon,1/2 teaspoon ground ginger,1/2 teaspoon ground allspice,1/4 teaspoon ground cloves,1/3 cup finely chopped crystallized ginger,1 cup butter, room temperature,1 cup white sugar,1 cup packed brown sugar,4 eggs, room temperature,1 teaspoon vanilla extract,1 (15 ounce) can pumpkin puree",dessert
cupcake,frog cupcakes,"1 (18.25 ounce) package white cake mix,1 (16 ounce) can prepared vanilla frosting,6 drops green food coloring, or as needed,1/4 cup green decorator sugar,12 large marshmallows,48 semisweet chocolate chips,1 drop red food coloring",dessert
cupcake,sweetheart cupcakes,"1 (18.25 ounce) package white cake mix,1 1/4 cups water,1/3 cup vegetable oil,3 egg whites,8 drops red food coloring,2 drops raspberry candy oil",dessert
cupcake,vegan cupcakes,"1 tablespoon apple cider vinegar,1 1/2 cups almond milk,2 cups all-purpose flour,1 cup white sugar,2 teaspoons baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,1/2 cup coconut oil, warmed until liquid,1 1/4 teaspoons vanilla extract",dessert
cupcake,brownie batter cupcake the second best cupcake ever,"1 (19.5 ounce) package brownie mix,2 eggs,1/2 cup canola oil,1/4 cup water,1 (18.25 ounce) package white cake mix,2 tablespoons canola oil,1 1/3 cups water,3 egg whites",dessert
cupcake,pineapple upside down cupcakes,"cooking spray,1/2 cup butter, melted,1 1/2 cups brown sugar,24 maraschino cherries,1 (20 ounce) can crushed pineapple,1 (18.25 ounce) package pineapple cake mix (such as Duncan Hines® Pineapple Supreme),3 eggs,1 1/3 cups pineapple juice,1/3 cup vegetable oil,1 tablespoon confectioners' sugar for dusting, or as needed",dessert
cupcake,spider cupcakes,"1 (18.25 ounce) package chocolate cake mix,1 pound black shoestring licorice,1 (16 ounce) can white frosting,48 pieces candy corn,48 cinnamon red hot candies,1/4 cup orange decorator sugar",dessert
cupcake,carrot cupcakes with white chocolate cream cheese icing,"Cream Cheese Icing:,2 ounces white chocolate,1 (8 ounce) package cream cheese, softened,1/2 cup unsalted butter, softened,1 teaspoon vanilla extract,1/2 teaspoon orange extract,4 cups confectioners' sugar,2 tablespoons heavy cream,Carrot Cake:,2 eggs, lightly beaten,1 1/8 cups white sugar,1/3 cup brown sugar,1/2 cup vegetable oil,1 teaspoon vanilla extract,2 cups shredded carrots,1/2 cup crushed pineapple,1 1/2 cups all-purpose flour,1 1/4 teaspoons baking soda,1/2 teaspoon salt,1 1/2 teaspoons ground cinnamon,1/2 teaspoon ground nutmeg,1/4 teaspoon ground ginger,1 cup chopped walnuts",dessert
cupcake,pumpkin spice cupcakes,"2 1/4 cups all-purpose flour,1 teaspoon ground cinnamon,1/2 teaspoon ground nutmeg,1/2 teaspoon ground ginger,1/2 teaspoon ground cloves,1/2 teaspoon ground allspice,1/2 teaspoon salt,1 tablespoon baking powder,1/2 teaspoon baking soda,1/2 cup butter, softened,1 cup white sugar,1/3 cup brown sugar,2 eggs, room temperature,3/4 cup milk,1 cup pumpkin puree,Cinnamon Cream Cheese Frosting,1 (8 ounce) package cream cheese, softened,1/4 cup butter, softened,3 cups confectioners' sugar,1 teaspoon vanilla extract,1 teaspoon ground cinnamon",dessert
cupcake,chocolate chip cookie dough cupcake the best cupcake ever,"1 1/2 cups all-purpose flour,1/4 teaspoon baking soda,1/4 teaspoon sea salt,1/2 cup butter, softened,1/4 cup white sugar,1/2 cup brown sugar,1 egg,2 teaspoons vanilla extract,1 cup miniature semisweet chocolate chips,1 (18.25 ounce) box yellow cake mix,1 1/3 cups water,1/3 cup canola oil,3 eggs",dessert
cupcake,lemon cupcakes,"3 cups self-rising flour,1/2 teaspoon salt,1 cup unsalted butter, at room temperature,2 cups white sugar,4 eggs, at room temperature,1 teaspoon vanilla extract,2 tablespoons lemon zest,1 cup whole milk, divided,2 1/2 tablespoons fresh lemon juice, divided,Lemon Cream Icing,2 cups chilled heavy cream,3/4 cup confectioners' sugar,1 1/2 tablespoons fresh lemon juice",dessert
cupcake,cream filled cupcakes,"3 cups all-purpose flour,2 cups white sugar,1/3 cup unsweetened cocoa powder,2 teaspoons baking soda,1 teaspoon salt,2 eggs,1 cup milk,1 cup water,1 cup vegetable oil,1 teaspoon vanilla extract,1/4 cup butter,1/4 cup shortening,2 cups confectioners' sugar,1 pinch salt,3 tablespoons milk,1 teaspoon vanilla extract",dessert
cupcake,harvest pumpkin cupcakes,"Cupcakes:,4 eggs, slightly beaten,3/4 cup Mazola® Vegetable Plus! Oil,2 cups sugar,1 (15 ounce) can pumpkin,1 3/4 cups all-purpose flour,1/4 cup Argo® OR Kingsford's® Corn Starch,4 teaspoons Spice Islands® Pumpkin Pie Spice,2 teaspoons Argo® Baking Powder,1 teaspoon baking soda,3/4 teaspoon salt,Frosting:,1 (8 ounce) package cream cheese, softened,3 tablespoons butter OR margarine, softened,1 tablespoon orange juice,2 teaspoons Spice Islands® 100% Pure Bourbon Vanilla Extract,1 1/2 teaspoons freshly grated orange peel,4 cups powdered sugar",dessert
cupcake,frankenstein cupcakes,"Cupcakes:,1 (15.25 ounce) package yellow cake mix,1 cup water,3 eggs,1/3 cup vegetable oil,Frosting:,1 cup shortening,1 cup butter, softened,2 teaspoons vanilla extract,8 cups confectioners' sugar,1/3 cup milk,3 drops green food coloring, or as desired,Decorations:,3 (1.75 ounce) packages chocolate sprinkles (jimmies),48 dark brown candy-coated milk chocolate pieces,48 blue candy-coated milk chocolate pieces,2/3 ounce black gel food coloring,2/3 ounce red gel food coloring",dessert
cupcake,chocolate beer cupcakes with whiskey filling and irish cream icing,"1 cup Irish stout beer (such as Guinness®),1 cup butter,3/4 cup unsweetened cocoa powder,2 cups all-purpose flour,2 cups white sugar,1 1/2 teaspoons baking soda,3/4 teaspoon salt,2 large eggs,2/3 cup sour cream,2/3 cup heavy whipping cream,8 ounces bittersweet chocolate, chopped,2 tablespoons butter,1 teaspoon Irish whiskey, or more to taste,1/2 cup butter, softened,3 cups confectioners' sugar, or more as needed,3 tablespoons Irish cream liqueur (such as Baileys®), or more to taste",dessert
salmon,cedar planked salmon,"3 (12 inch) untreated cedar planks,1/3 cup vegetable oil,1 1/2 tablespoons rice vinegar,1 teaspoon sesame oil,1/3 cup soy sauce,1/4 cup chopped green onions,1 tablespoon grated fresh ginger root,1 teaspoon minced garlic,2 (2 pound) salmon fillets, skin removed",dinner
salmon,grilled salmon i,"1 1/2 pounds salmon fillets,lemon pepper to taste,garlic powder to taste,salt to taste,1/3 cup soy sauce,1/3 cup brown sugar,1/3 cup water,1/4 cup vegetable oil",dinner
salmon,heathers grilled salmon,"1/4 cup brown sugar,1/4 cup olive oil,1/4 cup soy sauce,2 teaspoons lemon pepper,1 teaspoon dried thyme,1 teaspoon dried basil,1 teaspoon dried parsley,1/2 teaspoon garlic powder,4 (6 ounce) salmon fillets",dinner
